,Labels,XBRLID_predicted
3796,service class shares not commenced operations as of accordingly additional expenses service class shares estimated based on expenses of institutional class shares of fund fiscal year ended,rr_OtherExpensesNewFundBasedOnEstimates
3797,best quarter return worst quarter return,rr_HighestQuarterlyReturnLabel
3798,msci world index net reflects deductions fees expenses taxes institutional class average annual return,rr_AverageAnnualReturnLabel
3799,msci world index net reflects deductions fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3800,msci world index net reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3801,msci world index net reflects deductions fees expenses taxes five year average annual return,rr_AverageAnnualReturnYear05
3802,institutional class commenced operations on average annual return,rr_AverageAnnualReturnInceptionDate
3803,class y shares not commenced operations as of accordingly additional expenses class y shares estimated based on expenses of institutional class shares of fund fiscal year ended,rr_OtherExpensesNewFundBasedOnEstimates
3804,msci world index net institutional class average annual return,rr_AverageAnnualReturnLabel
3805,reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3806,reflects deductions fees expenses taxes five year average annual return,rr_AverageAnnualReturnYear05
3807,return before taxes n institutional class average annual return,rr_AverageAnnualReturnLabel
3808,msci world index net reflects deductions fees expenses taxes n institutional class average annual return,rr_AverageAnnualReturnLabel
3809,institutional class and service class commenced operations on and respectively average annual return,rr_AverageAnnualReturnInceptionDate
3810,s global infrastructure index reflects deductions fees expenses taxes institutional class average annual return,rr_AverageAnnualReturnLabel
3811,s global infrastructure index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3812,s global infrastructure index reflects deductions fees expenses taxes five year average annual return,rr_AverageAnnualReturnYear05
3813,s global infrastructure index reflects deductions fees expenses taxes n institutional class average annual return,rr_AverageAnnualReturnLabel
3814,expenses based on estimated amounts current fiscal year,rr_OtherExpensesNewFundBasedOnEstimates
3815,redemption end of period one year expense example,rr_ExpenseExampleYear01
3816,redemption end of period three years expense example,rr_ExpenseExampleYear03
3817,redemption end of period five years expense example,rr_ExpenseExampleYear05
3818,redemption end of period ten years expense example,rr_ExpenseExampleYear10
3819,class r1 shares one year expense example,rr_ExpenseExampleYear01
3820,class r1 shares three years expense example,rr_ExpenseExampleYear03
3821,class r1 shares five years expense example,rr_ExpenseExampleYear05
3822,class r1 shares ten years expense example,rr_ExpenseExampleYear10
3823,class r2 shares one year expense example,rr_ExpenseExampleYear01
3824,class r2 shares three years expense example,rr_ExpenseExampleYear03
3825,class r2 shares five years expense example,rr_ExpenseExampleYear05
3826,class r2 shares ten years expense example,rr_ExpenseExampleYear10
3827,class r3 shares one year expense example,rr_ExpenseExampleYear01
3828,class r3 shares three years expense example,rr_ExpenseExampleYear03
3829,class r3 shares five years expense example,rr_ExpenseExampleYear05
3830,class r3 shares ten years expense example,rr_ExpenseExampleYear10
3831,class r4 shares one year expense example,rr_ExpenseExampleYear01
3832,class r4 shares three years expense example,rr_ExpenseExampleYear03
3833,class r4 shares five years expense example,rr_ExpenseExampleYear05
3834,class r4 shares ten years expense example,rr_ExpenseExampleYear10
3835,shares one year average annual return,rr_AverageAnnualReturnYear01
3836,shares five years average annual return,rr_AverageAnnualReturnYear05
3837,shares ten years average annual return,rr_AverageAnnualReturnYear10
3838,r1 shares one year average annual return,rr_AverageAnnualReturnYear01
3839,r1 shares five years average annual return,rr_AverageAnnualReturnYear05
3840,r1 shares ten years average annual return,rr_AverageAnnualReturnYear10
3841,r2 shares one year average annual return,rr_AverageAnnualReturnYear01
3842,r2 shares five years average annual return,rr_AverageAnnualReturnYear05
3843,r2 shares ten years average annual return,rr_AverageAnnualReturnYear10
3844,r3 shares one year average annual return,rr_AverageAnnualReturnYear01
3845,r3 shares five years average annual return,rr_AverageAnnualReturnYear05
3846,r3 shares ten years average annual return,rr_AverageAnnualReturnYear10
3847,r4 shares one year average annual return,rr_AverageAnnualReturnYear01
3848,r4 shares five years average annual return,rr_AverageAnnualReturnYear05
3849,r4 shares ten years average annual return,rr_AverageAnnualReturnYear10
3850,r6 shares one year average annual return,rr_AverageAnnualReturnYear01
3851,r6 shares five years average annual return,rr_AverageAnnualReturnYear05
3852,r6 shares ten years average annual return,rr_AverageAnnualReturnYear10
3853,index comparison reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3854,msci world index net div one year average annual return,rr_AverageAnnualReturnYear01
3855,msci world index net div five years average annual return,rr_AverageAnnualReturnYear05
3856,msci world index net div ten years average annual return,rr_AverageAnnualReturnYear10
3857,total annual fund operating expenses after fee reductions and expense reimbursements,rr_NetExpensesOverAssets
3858,index comparisons reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3859,mfs global total return blended index one year average annual return,rr_AverageAnnualReturnYear01
3860,mfs global total return blended index five years average annual return,rr_AverageAnnualReturnYear05
3861,mfs global total return blended index ten years average annual return,rr_AverageAnnualReturnYear10
3862,bloomberg barclays global aggregate index one year average annual return,rr_AverageAnnualReturnYear01
3863,bloomberg barclays global aggregate index five years average annual return,rr_AverageAnnualReturnYear05
3864,bloomberg barclays global aggregate index ten years average annual return,rr_AverageAnnualReturnYear10
3865,acquired funds fees and expenses,rr_AcquiredFundFeesAndExpensesOverAssets
3866,s lsta leveraged loan index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3867,innovator international developed power buffer etf,rr_RiskReturnHeading
3868,msci eafe total return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3869,msci eafe total return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3870,msci eafe price return index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3871,msci eafe price return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3872,msci eafe price return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3873,innovator emerging markets power buffer etf,rr_RiskReturnHeading
3874,msci emerging markets total return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3875,msci emerging markets total return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3876,msci emerging markets price return index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3877,msci emerging markets price return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3878,msci emerging markets price return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3879,innovator u s small cap power buffer etf,rr_RiskReturnHeading
3880,russell total return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3881,russell total return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3882,russell price return index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
3883,russell price return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3884,russell price return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
3885,shareholder fees fees paid directly investment class class class r institutional class administrative,rr_ShareholderFeesCaption
3886,annual fund operating expenses expenses pay year as percentage of value of investment class class class r institutional class administrative,rr_OperatingExpensesCaption
3887,expenses based on estimated amounts current fiscal year reflect new investment advisory agreement with and new sub advisory agreement with allianzgi u s approved by fund s shareholders combined special meeting of shareholders of allianz funds and allianz multi strategy trust on,rr_OtherExpensesNewFundBasedOnEstimates
3888,class sold held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3889,class sold held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3890,class sold five years expense example,rr_ExpenseExampleYear05
3891,class sold ten years expense example,rr_ExpenseExampleYear10
3892,class r sold held one year expense example,rr_ExpenseExampleYear01
3893,class r sold held three years expense example,rr_ExpenseExampleYear03
3894,class r sold held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3895,class r sold held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3896,institutional sold held one year expense example,rr_ExpenseExampleYear01
3897,institutional sold held three years expense example,rr_ExpenseExampleYear03
3898,institutional sold held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3899,institutional sold held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3900,administrative sold held one year expense example,rr_ExpenseExampleNoRedemptionYear01
3901,administrative sold held three years expense example,rr_ExpenseExampleNoRedemptionYear03
3902,administrative sold held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3903,administrative sold held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3904,best quarter q2 worst quarter q3,rr_HighestQuarterlyReturnLabel
3905,return before taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3906,return after taxes on distributions fund inception average annual return,rr_AverageAnnualReturnSinceInception
3907,return after taxes on distributions and sale of fund shares fund inception average annual return,rr_AverageAnnualReturnSinceInception
3908,ice bofa convertibles index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3909,ice bofa convertibles index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
3910,ice bofa convertibles index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
3911,ice bofa convertibles index reflects deduction fees expenses taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3912,shareholder fees fees paid directly investment institutional class r6 class,rr_ShareholderFeesCaption
3913,maximum contingent deferred sales charge cdsc load as percentage of lower of original purchase price nav,rr_MaximumDeferredSalesChargeOverOfferingPrice
3914,annual fund operating expenses expenses pay year as percentage of value of investment institutional class r6 class,rr_OperatingExpensesCaption
3915,class r6 sold held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3916,class r6 sold held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3917,best quarter q2 worst quarter q4,rr_HighestQuarterlyReturnLabel
3918,one year fund inception average annual return,rr_AverageAnnualReturnInceptionDate
3919,bloomberg barclays aggregate bond index reflects deduction fees expenses taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3920,shareholder fees fees paid directly investment class institutional,rr_ShareholderFeesCaption
3921,annual fund operating expenses expenses pay year as percentage of value of investment class institutional,rr_OperatingExpensesCaption
3922,best quarter q2 worst quarter q1,rr_HighestQuarterlyReturnLabel
3923,one year five years fund inception average annual return,rr_AverageAnnualReturnInceptionDate
3924,msci emerging markets index returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3925,msci emerging markets index returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3926,msci emerging markets index returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3927,annual fund operating expenses expenses pay year as percentage of value of investment class class institutional class,rr_OperatingExpensesCaption
3928,expenses based on estimated amounts current fiscal year reflect new investment advisory agreement with and new sub advisory agreement with nfj approved by fund s shareholders combined special meeting of shareholders of allianz funds and allianz multi strategy trust on,rr_OtherExpensesNewFundBasedOnEstimates
3929,held one year expense example,rr_ExpenseExampleNoRedemptionYear01
3930,held three years expense example,rr_ExpenseExampleNoRedemptionYear03
3931,held five years expense example,rr_ExpenseExampleNoRedemptionYear05
3932,held ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3933,one year five year fund inception average annual return,rr_AverageAnnualReturnInceptionDate
3934,msci emerging markets index returns reflect deduction fees expenses net of dividend tax withholding five year average annual return,rr_AverageAnnualReturnYear05
3935,shareholder fees fees paid directly investment class class class r institutional class r6 class administrative,rr_ShareholderFeesCaption
3936,annual fund operating expenses expenses pay year as percentage of value of investment class class class r institutional class r6 class administrative,rr_OperatingExpensesCaption
3937,total annual fund operating expenses not match ratio of expenses average net assets of fund as set forth financial highlights table of fund s prospectus ratio of expenses average net asset prospectus reflects operating expenses of fund and does not include acquired fund fees and expenses,rr_ExpensesNotCorrelatedToRatioDueToAcquiredFundFees
3938,expenses based on estimated amounts current fiscal year reflect new investment advisory agreement with and new sub advisory agreement with allianz global investors u s llc approved by fund s shareholders combined special meeting of shareholders of allianz funds and allianz multi strategy trust on,rr_OtherExpensesNewFundBasedOnEstimates
3939,msci country world index returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3940,msci country world index returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3941,msci country world index returns reflect deduction fees expenses net of dividend tax withholding ten years average annual return,rr_AverageAnnualReturnYear10
3942,msci country world index returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3943,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3944,fund inception average annual return,rr_AverageAnnualReturnSinceInception
3945,one year five years ten year fund inception average annual return,rr_AverageAnnualReturnInceptionDate
3946,msci country world index returns reflect deduction fees expenses net of dividend tax withholding ten year average annual return,rr_AverageAnnualReturnYear10
3947,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes ten year average annual return,rr_AverageAnnualReturnYear10
3948,shareholder fees fees paid directly investment class institutional class,rr_ShareholderFeesCaption
3949,annual fund operating expenses expenses pay year as percentage of value of investment class institutional class,rr_OperatingExpensesCaption
3950,dow jones sustainability world tr composite net returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3951,dow jones sustainability world tr composite net returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3952,dow jones sustainability world tr composite net returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3953,best quarter q1 worst quarter q1,rr_HighestQuarterlyReturnLabel
3954,ice bofa hy master ii index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3955,ice bofa hy master ii index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
3956,ice bofa hy master ii index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
3957,ice bofa hy master ii index reflects deduction fees expenses taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3958,shareholder fees fees paid directly investment class class class r institutional class r6 class,rr_ShareholderFeesCaption
3959,annual fund operating expenses expenses pay year as percentage of value of investment class class class r institutional class r6 class,rr_OperatingExpensesCaption
3960,msci world ex usa small cap index returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3961,msci world ex usa small cap index returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3962,msci world ex usa small cap index returns reflect deduction fees expenses net of dividend tax withholding ten years average annual return,rr_AverageAnnualReturnYear10
3963,msci world ex usa small cap index returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3964,msci eafe small cap index returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3965,msci eafe small cap index returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3966,msci eafe small cap index returns reflect deduction fees expenses net of dividend tax withholding ten years average annual return,rr_AverageAnnualReturnYear10
3967,msci eafe small cap index returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3968,ice bofa fixed rate preferred securities index usd hedged reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
3969,ice bofa fixed rate preferred securities index usd hedged reflects deduction fees expenses taxes fund inception average annual return,rr_AverageAnnualReturnSinceInception
3970,shareholder fees fees paid directly investment class class institutional class r6 class,rr_ShareholderFeesCaption
3971,annual fund operating expenses expenses pay year as percentage of value of investment class class institutional class r6 class,rr_OperatingExpensesCaption
3972,shareholder fees fees id directly investment class class institutional class,rr_ShareholderFeesCaption
3973,best quarter q1 worst quarter q3,rr_HighestQuarterlyReturnLabel
3974,one year five years ten years fund inception average annual return,rr_AverageAnnualReturnInceptionDate
3975,s global water index returns reflect deduction fees expenses net of dividend tax withholding one year average annual return,rr_AverageAnnualReturnYear01
3976,s global water index returns reflect deduction fees expenses net of dividend tax withholding five years average annual return,rr_AverageAnnualReturnYear05
3977,s global water index returns reflect deduction fees expenses net of dividend tax withholding ten years average annual return,rr_AverageAnnualReturnYear10
3978,s global water index returns reflect deduction fees expenses net of dividend tax withholding fund inception average annual return,rr_AverageAnnualReturnSinceInception
3979,expenses class r and class shares estimated current fiscal year actual expenses differ estimates,rr_OtherExpensesNewFundBasedOnEstimates
3980,class c1 redemption end of period one year expense example,rr_ExpenseExampleNoRedemptionYear01
3981,class c1 redemption end of period three years expense example,rr_ExpenseExampleNoRedemptionYear03
3982,class c1 redemption end of period five years expense example,rr_ExpenseExampleNoRedemptionYear05
3983,class c1 redemption end of period ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3984,class n average annual total returns since inception average annual return,rr_AverageAnnualReturnSinceInception
3985,class n average annual total returns inception date average annual return,rr_AverageAnnualReturnInceptionDate
3986,class c1 average annual total returns ten years average annual return,rr_AverageAnnualReturnYear10
3987,class c1 with redemption end of period number of years shares one year expense example,rr_ExpenseExampleYear01
3988,class c1 with redemption end of period number of years shares three years expense example,rr_ExpenseExampleYear03
3989,class c1 with redemption end of period number of years shares five years expense example,rr_ExpenseExampleYear05
3990,class c1 with redemption end of period number of years shares ten years expense example,rr_ExpenseExampleYear10
3991,class c1 redemption end of period number of years shares one year expense example,rr_ExpenseExampleNoRedemptionYear01
3992,class c1 redemption end of period number of years shares three years expense example,rr_ExpenseExampleNoRedemptionYear03
3993,class c1 redemption end of period number of years shares five years expense example,rr_ExpenseExampleNoRedemptionYear05
3994,class c1 redemption end of period number of years shares ten years expense example,rr_ExpenseExampleNoRedemptionYear10
3995,class r n average annual total returns since inception average annual return,rr_AverageAnnualReturnSinceInception
3996,class r n average annual total returns inception date average annual return,rr_AverageAnnualReturnInceptionDate
3997,vaneck vectors africa index etf return before taxes average annual return,rr_AverageAnnualReturnLabel
3998,vaneck vectors africa index etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
3999,vaneck vectors africa index etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4000,vaneck vectors africa index etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4001,vaneck vectors africa index etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4002,vaneck vectors africa index etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4003,vaneck vectors africa index etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4004,vaneck vectors africa index etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4005,vaneck vectors africa index etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4006,vaneck vectors africa index etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4007,vaneck vectors africa index etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4008,vaneck vectors africa index etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4009,mvis gdp africa index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4010,mvis gdp africa index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4011,mvis gdp africa index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4012,mvis gdp africa index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4013,vaneck vectors brazil small cap etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4014,vaneck vectors brazil small cap etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4015,vaneck vectors brazil small cap etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4016,vaneck vectors brazil small cap etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4017,vaneck vectors brazil small cap etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4018,vaneck vectors brazil small cap etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4019,vaneck vectors brazil small cap etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4020,vaneck vectors brazil small cap etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4021,vaneck vectors brazil small cap etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4022,vaneck vectors brazil small cap etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4023,vaneck vectors brazil small cap etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4024,vaneck vectors brazil small cap etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4025,mvis brazil small cap index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4026,mvis brazil small cap index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4027,mvis brazil small cap index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4028,mvis brazil small cap index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4029,vaneck vectors egypt index etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4030,vaneck vectors egypt index etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4031,vaneck vectors egypt index etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4032,vaneck vectors egypt index etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4033,vaneck vectors egypt index etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4034,vaneck vectors egypt index etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4035,vaneck vectors egypt index etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4036,vaneck vectors egypt index etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4037,vaneck vectors egypt index etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4038,vaneck vectors egypt index etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4039,vaneck vectors egypt index etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4040,vaneck vectors egypt index etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4041,mvis egypt index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4042,mvis egypt index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4043,mvis egypt index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4044,mvis egypt index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4045,vaneck vectors india growth leaders etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4046,vaneck vectors india growth leaders etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4047,vaneck vectors india growth leaders etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4048,vaneck vectors india growth leaders etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4049,vaneck vectors india growth leaders etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4050,vaneck vectors india growth leaders etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4051,vaneck vectors india growth leaders etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4052,vaneck vectors india growth leaders etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4053,vaneck vectors india growth leaders etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4054,vaneck vectors india growth leaders etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4055,vaneck vectors india growth leaders etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4056,vaneck vectors india growth leaders etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4057,marketgrader india cap growth leaders index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4058,marketgrader india cap growth leaders index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4059,marketgrader india cap growth leaders index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4060,marketgrader india cap growth leaders index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4061,vaneck vectors indonesia index etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4062,vaneck vectors indonesia index etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4063,vaneck vectors indonesia index etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4064,vaneck vectors indonesia index etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4065,vaneck vectors indonesia index etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4066,vaneck vectors indonesia index etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4067,vaneck vectors indonesia index etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4068,vaneck vectors indonesia index etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4069,vaneck vectors indonesia index etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4070,vaneck vectors indonesia index etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4071,vaneck vectors indonesia index etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4072,vaneck vectors indonesia index etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4073,mvis indonesia index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4074,mvis indonesia index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4075,mvis indonesia index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4076,mvis indonesia index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4077,vaneck vectors israel etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4078,vaneck vectors israel etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4079,vaneck vectors israel etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4080,vaneck vectors israel etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
4081,vaneck vectors israel etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4082,vaneck vectors israel etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4083,vaneck vectors israel etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4084,vaneck vectors israel etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
4085,vaneck vectors israel etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4086,vaneck vectors israel etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4087,vaneck vectors israel etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4088,vaneck vectors israel etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
4089,bluestar israel global index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4090,bluestar israel global index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4091,bluestar israel global index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
